feature,importance,fold
ORGANIZATION_TYPE_OTHER,27,1
ORGANIZATION_TYPE_POLICE,55,1
ORGANIZATION_TYPE_POSTAL,10,1
ORGANIZATION_TYPE_REALTOR,0,1
ORGANIZATION_TYPE_RELIGION,0,1
ORGANIZATION_TYPE_RESTAURANT,30,1
ORGANIZATION_TYPE_SCHOOL,58,1
ORGANIZATION_TYPE_SECURITY,7,1
ORGANIZATION_TYPE_SECURITYMINISTRIES,51,1
ORGANIZATION_TYPE_SELFEMPLOYED,117,1
ORGANIZATION_TYPE_SERVICES,30,1
ORGANIZATION_TYPE_TELECOM,0,1
ORGANIZATION_TYPE_TRADETYPE1,0,1
ORGANIZATION_TYPE_TRADETYPE2,13,1
ORGANIZATION_TYPE_TRADETYPE3,26,1
ORGANIZATION_TYPE_TRADETYPE4,0,1
ORGANIZATION_TYPE_TRADETYPE5,0,1
ORGANIZATION_TYPE_TRADETYPE6,0,1
ORGANIZATION_TYPE_TRADETYPE7,22,1
ORGANIZATION_TYPE_TRANSPORTTYPE1,0,1
ORGANIZATION_TYPE_TRANSPORTTYPE2,4,1
ORGANIZATION_TYPE_TRANSPORTTYPE3,85,1
ORGANIZATION_TYPE_TRANSPORTTYPE4,15,1
ORGANIZATION_TYPE_UNIVERSITY,28,1
ORGANIZATION_TYPE_XNA,0,1
FONDKAPREMONT_MODE_NOTSPECIFIED,43,1
FONDKAPREMONT_MODE_ORGSPECACCOUNT,37,1
FONDKAPREMONT_MODE_REGOPERACCOUNT,32,1
FONDKAPREMONT_MODE_REGOPERSPECACCOUNT,39,1
HOUSETYPE_MODE_BLOCKOFFLATS,2,1
HOUSETYPE_MODE_SPECIFICHOUSING,21,1
HOUSETYPE_MODE_TERRACEDHOUSE,0,1
WALLSMATERIAL_MODE_BLOCK,7,1
WALLSMATERIAL_MODE_MIXED,0,1
WALLSMATERIAL_MODE_MONOLITHIC,1,1
WALLSMATERIAL_MODE_OTHERS,36,1
WALLSMATERIAL_MODE_PANEL,27,1
WALLSMATERIAL_MODE_STONEBRICK,92,1
WALLSMATERIAL_MODE_WOODEN,8,1
EMERGENCYSTATE_MODE_NO,1,1
EMERGENCYSTATE_MODE_YES,0,1
DAYS_EMPLOYED_PERC,2839,1
INCOME_CREDIT_PERC,1950,1
INCOME_PER_PERSON,1521,1
ANNUITY_INCOME_PERC,2161,1
PAYMENT_RATE,3497,1
BURO_DAYS_CREDIT_MIN,1017,1
BURO_DAYS_CREDIT_MAX,1521,1
BURO_DAYS_CREDIT_MEAN,1351,1
BURO_DAYS_CREDIT_VAR,1668,1
BURO_DAYS_CREDIT_ENDDATE_MIN,1045,1
BURO_DAYS_CREDIT_ENDDATE_MAX,1289,1
BURO_DAYS_CREDIT_ENDDATE_MEAN,1518,1
BURO_DAYS_CREDIT_UPDATE_MEAN,1360,1
BURO_CREDIT_DAY_OVERDUE_MAX,102,1
BURO_CREDIT_DAY_OVERDUE_MEAN,65,1
BURO_AMT_CREDIT_MAX_OVERDUE_MEAN,1469,1
BURO_AMT_CREDIT_SUM_MAX,1153,1
BURO_AMT_CREDIT_SUM_MEAN,1466,1
BURO_AMT_CREDIT_SUM_SUM,1258,1
BURO_AMT_CREDIT_SUM_DEBT_MAX,855,1
BURO_AMT_CREDIT_SUM_DEBT_MEAN,1252,1
BURO_AMT_CREDIT_SUM_DEBT_SUM,644,1
BURO_AMT_CREDIT_SUM_OVERDUE_MEAN,171,1
BURO_AMT_CREDIT_SUM_LIMIT_MEAN,505,1
BURO_AMT_CREDIT_SUM_LIMIT_SUM,221,1
BURO_AMT_ANNUITY_MAX,422,1
BURO_AMT_ANNUITY_MEAN,511,1
BURO_CNT_CREDIT_PROLONG_SUM,65,1
BURO_MONTHS_BALANCE_MIN_MIN,261,1
BURO_MONTHS_BALANCE_MAX_MAX,78,1
BURO_MONTHS_BALANCE_SIZE_MEAN,466,1
BURO_MONTHS_BALANCE_SIZE_SUM,436,1
